Type,Username,Date,Text,Link,Reply_Count;;
"POST,BiandaDanu,Wed Feb 11 09:25:24 +0000 2026,""@chessckck Tutup akun sekarang. Data lengkap, bukti siap proses UU ITE. Jangan tunggu polisi jemput.  NAMA : CATUR PRASETYO JENIS KELAMIN : Laki-Laki TTL : CILACAP, 23-09-2001 ALAMAT : KARANGTENGAH LOR, RT003/RW004, KARANGREJA, CIMANGGU, CILACAP, JAWA TENGAH 083824339346"",https://x.com/BiandaDanu/status/2021515906166534152,0";;
"POST,kumparan,Wed Feb 11 08:15:00 +0000 2026,""MM (22), pemuda asal Kecamatan Japah, Kabupaten Blora, Jawa Tengah, melapor ke polisi usai digerebek karena kepergok berduaan dengan istri orang di Desa Srigading, Kecamatan Ngawen, Blora. Bagaimana kronologinya? Simak selengkapnya dalam infografis berikut.  📸: Dok. Istimewa, https://t.co/vnt64eMlQA"",https://x.com/kumparan/status/2021498187962515787,1";;
"POST,madokafc1,Tue Feb 10 12:00:07 +0000 2026,""@cakrawalasenj4 Jakarta kalo logis ga bakalan milih Banteng sih, Jawa Tengah aja lebih milih polisi daripada Banteng lho 🤣🤣🤣"",https://x.com/madokafc1/status/2021192452070379854,2";;
"POST,padureso_polsek,Tue Feb 10 11:46:31 +0000 2026,""Kehadiran polisi di jalan raya bukan semata untuk mengawasi, tetapi juga menyapa dan memastikan keselamatan para pengguna jalan. Hal itu tergambar dalam kegiatan Satgas Pengawalan dan Patroli (Pamwal) Operasi Keselamatan Candi 2026 yang dilaksanakan Unit PJR Polda Jawa Tengah. https://t.co/ZN4akjv7DO"",https://x.com/padureso_polsek/status/2021189028813365581,0";;
"POST,Gtid_news,Tue Feb 10 10:00:00 +0000 2026,""Viral mobil Satuan Pelayanan Pemenuhan Gizi menabrak pagar SDN Clapar di Kecamatan Karanggayam, Kebumen, Jawa Tengah, Jumat 6 Februari 2026. Polisi menyebut sopir berinisial ASW mengemudi ugal-ugalan hingga ban pecah dan tetap melaju. Saat warga mencoba menolong, sopir justru https://t.co/8vgeJhu48m"",https://x.com/Gtid_news/status/2021162226133106999,0";;
"POST,PolairJateng,Tue Feb 10 09:36:07 +0000 2026,""Kapal Polisi IX - 1015 Dari para nelayan  Mengucapkan terima kasih sudah sambang kepada nelayan memberikan himbauan dan arahan, hal ini sebagai bentuk perhatian dan kepedulian yang dilakukan oleh personil Kapal Polisi IX-1015 Dit PolAirud Polda Jateng, harapannya PolAirud Polda https://t.co/oFMxfaF3MX"",https://x.com/PolairJateng/status/2021156215892459640,0";;
"POST,kumparan,Tue Feb 10 06:48:02 +0000 2026,""Seorang pria warga Blora, Jawa Tengah, berinisial MM (22) melapor polisi usai ia dihajar dan ditelanjangi oleh warga saat tepergok sedang berduaan dengan istri orang.  Kuasa hukum MM, Yusuf Nurbaidi mengatakan, peristiwa itu terjadi pada Senin 2 Februari 2026 di Desa Srigading, https://t.co/w58KwTrhWZ"",https://x.com/kumparan/status/2021113914386501974,246";;
"POST,grok,Tue Feb 10 05:54:39 +0000 2026,""@FahmanHdy @txtdrimedia Berdasarkan pencarian saya, berita ini benar adanya. Seorang pria berinisial MM (23) di Blora, Jawa Tengah, melapor ke polisi setelah dianiaya warga karena kepergok selingkuh dengan istri orang. Dilaporkan oleh https://t.co/9vAjhQeEWk dan sumber lain seperti Tribun Sumsel."",https://x.com/grok/status/2021100480433123738,0";;
"POST,grok,Tue Feb 10 04:34:55 +0000 2026,""@algifarry81 @txtdrimedia Ya, berita ini nyata. Kejadian di Blora, Jawa Tengah, di mana pria berinisial MM (23) kepergok selingkuh dengan istri orang, dihajar warga, lalu lapor polisi. Dilaporkan oleh https://t.co/u4qa0rgYcC dan sumber lain pada 9 Februari 2026."",https://x.com/grok/status/2021080417223221274,0";;
"POST,tvOneNews,Tue Feb 10 04:10:52 +0000 2026,""Nasib sial menimpa MM, pemuda asal Kecamatan Japah, Blora, Jawa Tengah ini melapor ke kepolisian, atas kasus pengeroyokan dan penyiksaan.  Simak selengkapnya di https://t.co/dlCttk801W #HardNews_Hukum #NewsOne #CariBeritaditvOne #ViralJateng #LaporanPolisi #NO01 https://t.co/jtgj6AMLp5"",https://x.com/tvOneNews/status/2021074363055997218,5";;
